"filename", "language", "HTTP", "JSON", "JavaScript", "Markdown", "HTML", "Properties", "CSS", "comment", "blank", "total"
"c:\Users\kamil\Documents\GitHub\LepszyUPEL\.env", "Properties", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\kamil\Documents\GitHub\LepszyUPEL\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 0, 0, 33, 71
"c:\Users\kamil\Documents\GitHub\LepszyUPEL\authServer.js", "JavaScript", 0, 0, 47, 0, 0, 0, 0, 30, 18, 95
"c:\Users\kamil\Documents\GitHub\LepszyUPEL\config\allowedOrigins.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"c:\Users\kamil\Documents\GitHub\LepszyUPEL\config\corsOptions.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\kamil\Documents\GitHub\LepszyUPEL\config\database.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 5, 2, 16
"c:\Users\kamil\Documents\GitHub\LepszyUPEL\config\rolesList.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\kamil\Documents\GitHub\LepszyUPEL\controllers\authController.js", "JavaScript", 0, 0, 78, 0, 0, 0, 0, 3, 10, 91
"c:\Users\kamil\Documents\GitHub\LepszyUPEL\controllers\logoutController.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 3, 7, 30
"c:\Users\kamil\Documents\GitHub\LepszyUPEL\controllers\refreshTokenController.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 1, 4, 34
"c:\Users\kamil\Documents\GitHub\LepszyUPEL\controllers\registerController.js", "JavaScript", 0, 0, 66, 0, 0, 0, 0, 5, 9, 80
"c:\Users\kamil\Documents\GitHub\LepszyUPEL\controllers\usersController.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 2, 5, 49
"c:\Users\kamil\Documents\GitHub\LepszyUPEL\middleware\credentials.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\kamil\Documents\GitHub\LepszyUPEL\middleware\logEvents.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 7, 33
"c:\Users\kamil\Documents\GitHub\LepszyUPEL\middleware\verifyJWT.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\kamil\Documents\GitHub\LepszyUPEL\middleware\verifyRoles.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\kamil\Documents\GitHub\LepszyUPEL\package-lock.json", "JSON", 0, 42159, 0, 0, 0, 0, 0, 0, 1, 42160
"c:\Users\kamil\Documents\GitHub\LepszyUPEL\package.json", "JSON", 0, 62, 0, 0, 0, 0, 0, 0, 1, 63
"c:\Users\kamil\Documents\GitHub\LepszyUPEL\public\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\kamil\Documents\GitHub\LepszyUPEL\request.rest", "HTTP", 11, 0, 0, 0, 0, 0, 0, 2, 7, 20
"c:\Users\kamil\Documents\GitHub\LepszyUPEL\routes\api\users.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\kamil\Documents\GitHub\LepszyUPEL\src\App.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 5, 39
